class_standing,gender,major,UCR_GPA,first_quarter_UCR_GPA,prioritize_health,health_vs_academic studies,mental_wellbeing, imposter_syndrome_highschool,imposter_syndrome_freshman,imposter_syndrome_sophomore,imposter_syndrome_junior,imposter_syndrome_senior,imposter_syndrome_graduate,financial_stress
Senior,Male,CS,2.5 - 3.0,2.73,Yes,2,4,2,3,3,2,2,,3
Junior,Female,Data Science,3.5 - 4.0,3.7,Yes,3,2,5,5,5,,,,2
Junior,Female,CS,3.5 - 4.0,3.75,Yes,2,4,1,3,3,2,,,3
Senior,Male,CS,3.5 - 4.0,3.81,Yes,1,5,1,1,1,3,3,,2
Graduate,Male,CS,3.0 - 3.5,3.23,Yes,4,4,1,3,3,3,3,2,3
Junior,Prefer not to say,CSBA,3.5 - 4.0,4,Yes,3,2,4,2,3,2,,,4
Sophomore,Female,Data Science,3.5 - 4.0,4,Yes,4,3,3,4,4,1,1,1,
Sophomore,Male,CEN,3.5 - 4.0,4,Yes,3,4,3,4,4,,,,
Junior,Male,CEN,2.5 - 3.0,3.4,Yes,4,2,1,1,3,4,,,4
Senior,Male,CS,3.0 - 3.5,,No,5,3,2,3,4,5,5,1,3
Sophomore,Male,CS,3.5 - 4.0,4,No,4,2,4,4,4,,,,2
Sophomore,Male,CS,3.0 - 3.5,3.4,Yes,2,1,1,5,4,,,,5
Junior,Male,CS,3.0 - 3.5,3.37,Yes,3,3,3,4,4,4,,,4
Junior,Male,Computer engineering ,3.0 - 3.5,3.5,Yes,4,2,1,5,4,4,,,3
Junior,Male,CS,3.5 - 4.0,3.88,Yes,4,2,1,1,1,3,,,5
Junior,Male,CS,3.5 - 4.0,4,Yes,4,4,3,3,4,,,,2
Junior,Female,CS,3.5 - 4.0,3.33,,4,3,1,3,5,5,,,2
Junior,Male,CS,3.5 - 4.0,4,No,5,1,5,5,5,3,1,1,5
Junior,Male,CSBA,3.5 - 4.0,4,No,5,3,4,4,3,3,,,5
Senior,Male,CS,3.5 - 4.0,4,No,5,1,4,5,5,4,4,5,3
Sophomore,Female,CS,3.0 - 3.5,3.98,Yes,3,3,4,4,4,1,1,1,2
Sophomore,Male,CS,3.5 - 4.0,3.7,Yes,3,3,4,4,4,,,,3
Junior,Male,CS,3.5 - 4.0,3.5,Yes,3,3,2,2,2,2,2,2,1
Sophomore,Male,CEN,2.5 - 3.0,2.8,Yes,4,3,3,4,4,,,,2
Junior,Male,Data Science,2.5 - 3.0,3.5,Yes,4,5,3,3,3,3,1,1,5
Junior,Male,CS,3.5 - 4.0,3.8,Yes,4,3,4,3,5,4,3,3,3
Senior,Non-binary,CS,3.0 - 3.5,,Yes,2,4,2,3,5,,,,4
Sophomore,Male,Data Science,3.5 - 4.0,3,Yes,2,4,1,1,1,,,,1
Junior,Male,CS,3.5 - 4.0,3.64,No,5,1,3,5,5,5,,,5
Sophomore,Male,CEN,3.5 - 4.0,3.65,Yes,3,3,1,3,2,1,1,1,2
Senior,Male,CS,2.5 - 3.0,3,No,5,1,3,3,3,3,4,,5
Sophomore,Male,CEN,3.0 - 3.5,3.6,Yes,4,4,2,2,3,,,,3
Junior,Female,CSBA,3.5 - 4.0,4,Yes,3,3,3,3,4,4,,,2
Junior,Male,CSBA,2.0 - 2.5,3.2,Yes,5,3,1,1,1,1,1,,1
Junior,Male,CSBA,3.0 - 3.5,4,Yes,2,4,1,2,3,4,,,2
Sophomore,Male,CEN,3.5 - 4.0,4,Yes,5,5,1,1,1,1,1,1,1
Junior,Female,CS,3.5 - 4.0,4,No,4,2,2,1,3,4,,,2
Junior,Male,CS,3.5 - 4.0,3.5,No,4,4,1,5,5,5,,,4
Sophomore,Male,CS,3.0 - 3.5,2.9,Yes,2,4,4,5,3,,,,2
Junior,Male,CS,3.5 - 4.0,4,Yes,5,2,4,4,4,4,,,5
Junior,Female,Data Science,3.0 - 3.5,I am not sure,Yes,3,2,3,3,3,4,1,1,5
Junior,Male,CEN,3.5 - 4.0,4,No,3,3,5,5,5,5,5,5,3
Junior,Female,CS,3.0 - 3.5,4,Yes,2,2,3,4,4,5,1,1,4
Junior,Female,CS,3.5 - 4.0,3.7,No,4,3,3,2,3,,,,4
Junior,Male,Robotics Engineering,3.5 - 4.0,4,Yes,4,5,1,1,1,1,1,1,2
Junior,Male,CS,3.5 - 4.0,4,Yes,5,5,1,2,3,4,1,1,3
Junior,Male,Data Science,3.5 - 4.0,3.93,Yes,3,2,4,5,2,1,,,1
Sophomore,Male,CS,3.5 - 4.0,4,No,3,3,1,1,1,1,1,1,3
Sophomore,Non-binary,CS,3.0 - 3.5,3.88,Yes,5,1,2,4,5,1,1,1,4
Junior,Male,CSBA,3.5 - 4.0,4,Yes,3,3,3,2,3,5,5,5,4
Junior,Male,CS,3.5 - 4.0,4,Yes,3,4,1,2,,,,,2
Junior,Male,CSBA,3.5 - 4.0,4,Yes,4,4,2,2,2,,,,4
Sophomore,Male,CS,3.5 - 4.0,I don't know,No,5,2,4,5,5,,,,4
Junior,Male,CS,3.0 - 3.5,3.3,No,4,2,2,2,4,,,,2
Junior,Male,CEN,2.5 - 3.0,3,Yes,4,5,1,2,2,2,2,2,2
Sophomore,Male,CS,3.5 - 4.0,4,No,4,3,3,3,4,,,,
Junior,Female,CS,3.5 - 4.0,4,Yes,4,2,4,4,3,,,,2
Sophomore,Male,CS,3.5 - 4.0,4,No,4,2,1,1,1,,,,4
Senior,Male,CS,3.0 - 3.5,4,No,4,2,3,3,4,4,4,,2
Junior,Male,CS,2.5 - 3.0,2.7,Yes,4,5,1,1,1,1,1,1,4
Sophomore,Male,CS,Below 2.0,3 point something,No,5,1,1,3,2,1,,,5
Junior,Male,CS,3.5 - 4.0,3.69,Yes,1,1,1,5,5,5,5,5,5
Junior,Male,CS,3.5 - 4.0,3.7,No,4,4,4,4,5,5,,,5
Sophomore,Female,Data Science,3.0 - 3.5,3.1,Yes,4,3,2,3,4,,,,4
Sophomore,Male,CEN,3.5 - 4.0,4,Yes,2,3,2,1,2,,,,3
Junior,Male,Data Science,3.0 - 3.5,3.3,Yes,3,3,1,4,4,4,4,1,2
Junior,Male,CS,3.5 - 4.0,This is my first quarter,Yes,3,4,2,2,2,2,,,2
Junior,Male,CS,3.5 - 4.0,3.67,Yes,3,5,1,1,1,1,1,1,2
Freshman,Female,CS,3.5 - 4.0,4,Yes,3,4,5,4,,,,,3
Freshman,Male,Robotics Engineering,,4,Yes,4,3,3,4,,,,,3
Senior,Male,CS,3.0 - 3.5,3.56,No,2,2,2,2,3,4,,,4
Junior,Male,CS,3.5 - 4.0,3.9,No,1,2,1,1,3,4,,,1
Sophomore,Male,CS,3.5 - 4.0,3.8,Yes,2,3,2,,4,,,,
Junior,Male,Data Science,3.5 - 4.0,4,Yes,3,4,1,2,3,3,3,,1
Sophomore,Male,CSBA,3.5 - 4.0,4,Yes,3,4,4,2,2,,,,1
Sophomore,Female,Data Science,3.0 - 3.5,i don't rem,Yes,4,4,3,3,3,3,3,,4
Sophomore,Female,CS,3.5 - 4.0,3.8,No,5,1,4,3,3,1,1,1,4
Junior,Male,Data Science,3.5 - 4.0,3.26,Yes,2,4,1,1,2,3,,,3
Junior,Male,CS,3.5 - 4.0,4,Yes,3,3,5,5,4,,,,3
Junior,Male,CS,3.5 - 4.0,4,Yes,5,5,1,1,1,1,1,1,3
Junior,Prefer not to say,CSBA,Prefer not to say,not sure,,,,,,,,,,
Freshman,Prefer not to say,Data Science,Prefer not to say,4,No,4,2,4,3,,,,,3
Sophomore,Male,CS,3.0 - 3.5,3.9,Yes,3,4,2,3,4,,,,1
Senior,Male,CS,3.5 - 4.0,3.7,Yes,3,3,3,3,3,3,3,3,2
Junior,Male,Mathematics,3.0 - 3.5,1.8,Yes,3,4,1,1,2,3,,,4
Senior,Male,CS,3.5 - 4.0,4,Yes,3,4,2,1,1,1,1,1,3
Sophomore,Male,CEN,3.5 - 4.0,4,Yes,5,3,1,1,1,1,1,1,5
Junior,Male,CS,3.5 - 4.0,4,Yes,4,3,5,4,4,3,1,1,2
Junior,Female,Data Science,3.5 - 4.0,4,Yes,3,3,3,4,4,1,1,1,2
Junior,Male,CS,Prefer not to say,3.2,Yes,3,3,3,3,3,3,3,3,3
Sophomore,Female,CEN,Prefer not to say,3.6,Yes,3,3,2,5,5,,,,4
Junior,Male,EE,3.5 - 4.0,4,Yes,3,3,3,3,3,3,3,3,2
Sophomore,Female,CS,3.5 - 4.0,3.5,,,,,,,,,,
Freshman,Prefer not to say,CS,Prefer not to say,3.8,Yes,3,3,1,5,,,,,3
Senior,Male,CS,3.5 - 4.0,4,Yes,1,1,3,3,3,3,3,3,1
Freshman,Female,CS,3.5 - 4.0,4,Yes,2,3,4,3,,,,,3
Senior,Male,CS,3.0 - 3.5,3.9,Yes,3,3,1,1,1,1,1,,2
Sophomore,Female,bio engi,3.0 - 3.5,,No,3,3,1,1,1,,,,4
Sophomore,Male,CEN,3.5 - 4.0,3.9,Yes,3,3,2,2,2,2,2,2,4
Junior,Female,CS,3.5 - 4.0,4,Yes,3,3,3,3,3,3,3,3,3
Junior,Male,Data Science,3.5 - 4.0,3.91,Yes,2,4,4,2,2,4,,,3
Senior,Male,CS,3.0 - 3.5,3.45,Yes,3,2,1,2,3,4,4,,4
Senior,Male,Physics,2.5 - 3.0,3,No,4,2,3,5,5,5,5,,3
Senior,Male,CS,3.5 - 4.0,4,Yes,3,3,3,3,4,4,4,,4
Junior,Male,CS,3.5 - 4.0,3.67 I think,Yes,2,5,1,1,1,1,1,1,1
Junior,Prefer not to say,Mathematics,3.5 - 4.0,3.95,Yes,4,2,,,,,,,2
Freshman,Female,CS,3.5 - 4.0,4,Yes,5,5,2,1,,,,,1
Junior,Female,CS,3.5 - 4.0,3.8,Yes,3,3,2,4,2,,,,
Sophomore,Male,Data Science,3.5 - 4.0,3.6,No,5,3,4,3,3,,,,3
Freshman,Non-binary,CS,3.5 - 4.0,4,No,4,2,5,1,,,,,2
Junior,Female,Data Science,3.5 - 4.0,3.9,Yes,1,1,1,1,1,1,1,1,5
Sophomore,Male,Data Science,3.5 - 4.0,4,Yes,2,4,3,1,1,,,,4
Senior,Female,CS,3.0 - 3.5,3.3,No,5,2,1,5,5,5,5,,1
Freshman,Non-binary,CS,3.5 - 4.0,4,Yes,3,4,2,1,,,,,1
Senior,Male,CS,,4,Yes,4,3,2,3,4,4,5,,5
Junior,Male,CEN,3.5 - 4.0,3.58,No,5,1,2,4,4,4,,,5
Sophomore,Male,CSBA,3.5 - 4.0,3.9,No,3,2,2,2,3,3,3,,4
Sophomore,Male,CS,3.0 - 3.5,3.7,No,3,4,1,4,3,,,,1
Graduate,Male,CEN,2.5 - 3.0,2.8,No,4,4,3,3,5,2,2,4,4
Junior,Male,CS,3.0 - 3.5,3.78,Yes,3,3,1,1,2,4,,,2
Junior,Male,Mathematics,3.5 - 4.0,3.57,Yes,3,2,1,1,3,4,,,2
Senior,Female,CS,3.5 - 4.0,3.78,Yes,4,3,1,4,3,3,4,,3
Junior,Male,Statistics with Computation ,2.0 - 2.5,3,No,4,3,2,3,4,4,,,5
Junior,Female,CSBA,3.5 - 4.0,4,Yes,2,4,4,4,5,,,,3
Sophomore,Female,Data Science,3.0 - 3.5,4,Yes,3,3,3,3,3,1,1,1,3
Sophomore,Male,Data Science,3.0 - 3.5,3.43,Yes,3,4,1,2,2,,,,1
Senior,Male,CS,2.0 - 2.5,3,Yes,1,1,1,1,1,1,1,1,3
Sophomore,Male,CS,3.5 - 4.0,3.87,Yes,3,3,4,3,3,3,3,3,4
Junior,Male,CS,3.0 - 3.5,4,Yes,1,4,1,4,4,4,4,,4
Sophomore,Male,CEN,3.5 - 4.0,3.9,Yes,4,4,2,4,3,,,,2
Senior,Male,CS,3.5 - 4.0,3.92,No,5,4,1,4,2,2,3,1,1
Senior,Male,Business Administration,3.5 - 4.0,3.9,No,4,3,2,3,3,4,4,,4
Sophomore,Male,Data Science,3.0 - 3.5,4,Yes,3,2,2,3,4,1,1,1,3
Freshman,Female,CS,3.5 - 4.0,3.8,Yes,3,2,5,5,,,,,1
Senior,Male,CS,3.5 - 4.0,4,No,4,2,3,4,4,3,2,,1
Senior,Male,CS,3.0 - 3.5,3.86,No,3,4,3,3,2,4,4,2,1
Junior,Male,CS,3.5 - 4.0,4,Yes,4,3,1,1,1,,,,2
Junior,Female,CS,3.5 - 4.0,3.9,No,3,3,3,4,5,5,1,1,5
Junior,Female,CS,3.5 - 4.0,4,Yes,3,2,1,2,3,3,,,3
Sophomore,Male,CS,2.5 - 3.0,3.88,Yes,3,4,1,1,1,,,,3
Senior,Female,CS,3.0 - 3.5,3.56,No,5,1,4,5,5,5,5,1,3
Sophomore,Male,Data Science,3.0 - 3.5,3.5,No,2,3,3,3,1,,,,2
Junior,Male,CEN,2.5 - 3.0,2.91,Yes,4,4,1,5,2,1,,,3
Sophomore,Male,computer engineering ,2.5 - 3.0,not sure,Yes,4,3,2,4,4,,,,5
Sophomore,Male,CE,3.0 - 3.5,3.7,No,5,2,1,1,1,1,1,1,4
Sophomore,Male,CEN,3.0 - 3.5,3.6,No,5,1,3,3,4,,,,4
Junior,Male,CSBA,2.5 - 3.0,3.13,Yes,2,1,5,4,3,2,,,4
Junior,Female,CSBA,3.5 - 4.0,4,No,4,3,5,2,2,,,,3
Senior,Male,Psychology,3.5 - 4.0,3.56,Yes,4,3,4,1,1,4,1,1,3
Junior,Male,CSBA,3.5 - 4.0,4,Yes,3,5,3,3,3,3,3,3,3
Junior,Male,CSBA,3.0 - 3.5,3.5,Yes,2,2,2,2,2,2,2,1,2
Senior,Male,CS,,,,,,,,,,,,
Freshman,Male,CS,3.0 - 3.5,3.3,Yes,4,3,1,2,,,,,2
Freshman,Male,CEN,Prefer not to say,3,Yes,3,3,4,4,,,,,5
Sophomore,Male,CS,,,,,,,,,,,,
Sophomore,Male,Data Science,3.5 - 4.0,3.8,Yes,3,1,4,3,3,1,1,1,2
Sophomore,Female,CS,3.0 - 3.5,3.25,Yes,4,2,2,5,4,,,,5
Senior,Male,CS,3.0 - 3.5,3.4,Yes,2,4,1,3,3,4,5,,4
Senior,Male,CS,3.5 - 4.0,4,Yes,3,3,3,3,3,4,4,3,3
Junior,,CS,3.0 - 3.5,4,Yes,3,4,1,1,1,1,1,1,1
Sophomore,Female,CSBA,3.5 - 4.0,4,Yes,4,3,,,,,,,2
Sophomore,Male,CS,2.5 - 3.0,3.5,Yes,5,3,2,3,4,,,,4
Senior,Male,CS,3.0 - 3.5,3.8,No,1,5,1,1,1,1,1,1,4
Junior,Male,CSBA,3.0 - 3.5,I never checked. ,Yes,5,4,3,4,3,2,,,2
Junior,Male,CSBA,3.0 - 3.5,4,Yes,3,4,1,1,1,1,1,1,2
Sophomore,Male,CS,3.5 - 4.0,4,Yes,3,4,2,3,3,,,,2
Sophomore,Male,CS,3.0 - 3.5,3.7,,,3,1,2,3,,,,3
Sophomore,Female,Psychology,3.0 - 3.5,2.9,No,3,1,2,4,5,,,,4
Junior,Male,CSBA,3.0 - 3.5,3.7,Yes,4,2,1,1,3,3,,,2
Sophomore,Female,CS,3.5 - 4.0,4,Yes,3,3,5,4,,,,,4
Sophomore,Female,CSBA,2.5 - 3.0,3.0?,Yes,3,3,4,5,5,,,,4
Sophomore,Male,Data Science,3.0 - 3.5,3.8,Yes,3,4,1,2,1,,,,2
Senior,Male,CS,3.5 - 4.0,4,No,4,3,3,4,1,1,1,,1
Sophomore,Male,CS,3.5 - 4.0,3.57,Yes,5,2,2,2,4,,,,5
Sophomore,Male,Psychology,3.0 - 3.5,2.96,No,4,2,2,4,5,,,,3
Senior,Male,CS,3.0 - 3.5,3.9,No,5,2,2,5,4,3,4,1,4
Senior,Male,CSBA,2.5 - 3.0,3.6,No,4,4,1,2,2,5,5,1,1
Sophomore,Male,Mathematics,3.5 - 4.0,2.8,Yes,3,3,1,1,1,,,,3
Junior,Male,CS,2.5 - 3.0,2.68,Yes,4,2,1,5,3,2,,,2
Junior,Female,Biology,3.0 - 3.5,3,No,5,2,3,5,5,5,,,4
Sophomore,Female,CS,3.5 - 4.0,4,Yes,4,3,2,4,,,,,1
Junior,Female,Business Admin,3.5 - 4.0,4,Yes,4,4,4,3,2,,,,4
Sophomore,Male,CS,3.5 - 4.0,4,No,4,1,4,4,2,,,,3
Freshman,Female,CSBA,3.5 - 4.0,3.5,Yes,3,3,2,3,1,1,1,1,3
Sophomore,Male,CEN,3.5 - 4.0,3.7,Yes,2,2,1,2,1,,,,4
Junior,Male,CSBA,2.5 - 3.0,3.81,Yes,2,3,1,1,4,5,,,3
Senior,Male,CS,3.0 - 3.5,idk,No,3,2,3,3,3,5,5,,1
Senior,Male,CS,3.0 - 3.5,3.3,Yes,3,3,1,1,3,5,5,,4
Junior,Male,CS,3.5 - 4.0,4,No,3,3,3,3,3,3,3,3,3
Sophomore,Female,CS,3.0 - 3.5,2.3,Yes,4,2,5,5,5,5,1,1,4
Junior,Male,CS,3.5 - 4.0,3.76,Yes,5,2,4,2,4,1,1,1,1
Junior,Male,CSBA,3.0 - 3.5,3.4,No,4,2,2,3,4,4,,,4
Sophomore,Male,CS,3.5 - 4.0,4,Yes,2,3,1,1,1,1,1,1,2
Junior,Male,CS,3.5 - 4.0,3.8,Yes,2,4,3,2,3,4,,,3
Senior,Male,CS,3.0 - 3.5,4,Yes,2,3,2,2,3,2,2,1,3
Senior,Male,CS,3.0 - 3.5,3.4,Yes,3,3,4,3,3,4,4,,5
Senior,Prefer not to say,CS,3.0 - 3.5,I dont know,No,3,3,2,2,2,2,2,2,4
Senior,Female,Data Science,2.5 - 3.0,,No,3,3,1,1,3,3,,1,3
Graduate,Male,CS,3.0 - 3.5,2.76,No,5,2,3,1,1,1,1,5,5
Senior,Male,CS,3.0 - 3.5,3.5,Yes,4,4,1,1,3,3,3,1,3
,,,,,,,,,,,,,,
Sophomore,Male,Physics,2.5 - 3.0,2.5,Yes,3,3,1,4,3,1,1,1,4
Junior,Female,CS,3.5 - 4.0,4,Yes,4,3,1,2,1,3,2,1,4
Junior,Male,CS,3.5 - 4.0,4,Yes,3,3,4,2,2,2,2,2,4
Sophomore,Male,CEN,3.0 - 3.5,3.4,No,5,3,3,5,3,,,,4
Junior,Male,CS,3.5 - 4.0,3.8,Yes,3,3,3,3,3,3,3,3,3
Sophomore,Male,CS,3.5 - 4.0,4,Yes,3,3,3,5,5,,,,5
Junior,Male,CS,3.0 - 3.5,2.73,Yes,2,2,1,1,3,2,,,3
Junior,Male,CS,3.0 - 3.5,1.9,Yes,4,3,2,5,4,,1,1,4
Sophomore,Male,CS,2.5 - 3.0,4,Yes,3,1,5,1,1,,,,5
Sophomore,Male,CS,3.0 - 3.5,3.8,Yes,3,3,2,3,4,,,,5
Sophomore,Male,Physics,3.5 - 4.0,3.75,Yes,4,1,3,1,1,1,1,1,1
Sophomore,Male,CS,3.5 - 4.0,3.6,Yes,4,5,2,3,1,1,1,1,2
Senior,Male,CSBA,2.5 - 3.0,3.33,Yes,5,1,1,1,2,4,5,,3
Sophomore,Male,CS,3.0 - 3.5,"Idk, I think 3.2 or something along those lines",Yes,4,3,1,5,4,,,,5
Junior,Male,CS,2.5 - 3.0,3.6,Yes,1,1,1,4,4,5,1,1,5
Sophomore,Male,CSBA,3.0 - 3.5,3.8,No,5,3,1,5,5,1,1,1,3
Senior,Female,marketing,3.0 - 3.5,2.8?,Yes,1,2,2,4,3,2,2,1,4
Junior,Male,CS,2.5 - 3.0,3.4,Yes,3,4,1,2,2,2,2,,3
Sophomore,Male,CS,3.5 - 4.0,4,No,4,4,1,1,1,1,1,1,1
Sophomore,Male,Data Science,3.0 - 3.5,3,Yes,4,5,3,3,1,1,1,1,1
Junior,Male,CS,3.5 - 4.0,3.8,No,4,1,4,5,5,5,5,5,5
Sophomore,Male,CSBA,3.5 - 4.0,3.96,No,4,3,1,3,4,1,1,1,3
Sophomore,Female,CS,3.5 - 4.0,4,Yes,4,3,2,5,3,,,,3
Junior,Female,CS,3.5 - 4.0,3.75,Yes,3,4,1,2,1,1,,,1
Junior,Female,CSBA,3.5 - 4.0,3.5,Yes,3,2,4,4,4,,,,3
Senior,Male,CS,3.5 - 4.0,4,Yes,5,1,1,3,5,,,,2
Sophomore,Male,Data Science,3.0 - 3.5,3.5,No,4,5,2,3,2,1,1,1,1
Senior,Male,CS,3.0 - 3.5,3.33,Yes,3,1,3,4,4,5,5,,5
Sophomore,Female,CEN,3.0 - 3.5,3.4,Yes,2,3,5,2,3,,,,3
Junior,Male,CS,3.0 - 3.5,4,Yes,3,3,3,1,1,1,1,1,4
Junior,Female,Bioengineering,3.0 - 3.5,,Yes,2,3,5,5,5,4,,,3
Sophomore,Male,CS,3.5 - 4.0,4,Yes,2,2,5,4,5,1,1,1,5
Junior,Male,CS,3.5 - 4.0,3.9,Yes,3,4,4,1,1,,,,4
Sophomore,Male,Data Science,3.5 - 4.0,3.7,Yes,3,5,1,1,1,1,1,1,1
Senior,Male,CS,3.0 - 3.5,3.7,Yes,4,3,1,5,4,5,5,1,5
Senior,Male,CS,3.5 - 4.0,4,No,4,2,4,2,2,5,4,,2
Sophomore,Female,CS,3.5 - 4.0,3.45,No,5,3,3,4,5,,,,3
Senior,Male,CS,3.5 - 4.0,3.6,Yes,4,3,3,1,1,2,2,,3
Junior,Male,CS,3.5 - 4.0,3.92,No,4,1,3,2,2,3,3,,5
Sophomore,Male,CE(computer engineering),2.5 - 3.0,2.6,Yes,3,4,3,2,2,,,,4
Junior,Male,Data Science,3.0 - 3.5,4,Yes,2,4,1,1,1,1,1,1,1
Sophomore,Male,CS,3.5 - 4.0,,Yes,,,,,,,,,
Sophomore,Male,CS,3.0 - 3.5,3.7,No,4,2,4,3,5,,,,4
Junior,Female,Data Science,3.0 - 3.5,3.1,No,4,2,1,1,1,1,,,1
Senior,Male,CS,2.0 - 2.5,3.9,Yes,2,4,1,1,2,4,5,,3
Graduate,Male,CS,3.5 - 4.0,4,No,4,3,4,3,3,4,5,5,3
Senior,Male,CS,3.5 - 4.0,3.6,No,2,3,2,2,3,4,5,,5
Sophomore,Male,CEN,3.0 - 3.5,about 3.0,Yes,2,4,2,4,1,,,,1
Senior,Female,CS,3.5 - 4.0,4,Yes,1,4,2,3,4,3,2,,2
Sophomore,Male,Data Science,3.5 - 4.0,3.4,Yes,3,4,,,,,,,
Freshman,Male,CEN,3.5 - 4.0,3.91,No,5,2,3,5,5,5,5,5,3
Junior,Male,CS,3.0 - 3.5,3.5,Yes,2,3,5,4,4,4,4,4,5
Senior,Female,CEN,3.0 - 3.5,4,Yes,2,4,1,2,2,3,4,,3
Junior,Male,CEN,3.5 - 4.0,3.8,Yes,3,3,3,3,3,3,3,3,3
